НАЗВАНИЕ.СМИ,ТЕЛЕФОН,АДРЕС.СМИ,ЭЛ.ПОЧТА...САЙТ,ГЛАВНЫЙ.РЕДАКТОР,ОБЛАСТЬ,ГОРОД.РАЙОНЫ,ТИП.СМИ,СОБСТВЕННИК,email,web
AQ JOL-AQPARAT,87262431707,"ул. Сулейменова, 5","ak-jol-taraz@rambler.ru, https://aqjolaqparat.kz/",Косемәли Саттибайулы,Жамбылская область,Тараз,ИА,"ТОО Редакция Жамбылской областной газеты ""Ақ жол""",ak-jol-taraz@rambler.ru,https://aqjolaqparat.kz/
Aqparaq.kz,87029846613,"мкр. Карасу, 17а","aigulsamet@mail.ru, http://aqparaq.kz/",Айгуль Ануарбекова,Жамбылская область,Тараз,ИА,Ануарбекова  Айгуль Ануарбекова,aigulsamet@mail.ru,http://aqparaq.kz/
Turaninfo.kz,"87011209069, 8707 550 0470","ул. Сатыбалдиева, д.40","turaninfo.kz@gmail.com , http://turaninfo.kz/",Исламбек Дастан,Жамбылская область,Тараз,ИА,"ИП ""Туякбаева С.С.""",turaninfo.kz@gmail.com,http://turaninfo.kz/
ZhambylNews,87262456415,"ул. Казыбек би 138, 51-ый офис","zhambylnews@mail.ru , http://ru.zhambylnews.kz/",Гулбаршын Кайратовна,Жамбылская область,Тараз,ИА,"ТОО ""Zhambyl Group Inc"" ",zhambylnews@mail.ru,http://ru.zhambylnews.kz/
ZAU.KZ,8771 39943 63,"ул. Достаевский 3А,кв.22 А","zau.kz18@mail.ru , https://zau.kz/",Бакыт Султанбеков,Жамбылская область,Тараз,ИА,"ИП ""Елорда""",zau.kz18@mail.ru,https://zau.kz/
Aulieata News,"8 726 2 4356 97, 8726 2453452","ул. Толе би, 36Б","auelita@bk.ru, http://ru.aulieatanews.kz/",Гульнур Жылкыбаева ,Жамбылская область,Тараз,ИА,"ТОО ""Қанатты қалам әлемі""",auelita@bk.ru,http://ru.aulieatanews.kz/
Zhampoz,"8707 9737908, 8776 6898966","ул. Кошек Батыра, 3","baurzhan.ashen@mail.ru , http://ru.zhampoz.kz/",Дина Кыдырбекова,Жамбылская область,Тараз,ИА,"ИП ""Media Key""",baurzhan.ashen@mail.ru,http://ru.zhampoz.kz/
Ar-ay.kz,"87262 451043,87262 431054","ул. Сулемейнова, 6а","aray2008@mail.ru, araygazeti@gmail.com, https://ar-ay.kz/",Дәулет Төлендіұлы,Жамбылская область,Тараз,ИА,"ТОО Редакция Жамбылской облостной газеты ""АРАЙ"", Дәулет Төлендіұлы",aray2008@mail.ru araygazeti@gmail.com,https://ar-ay.kz/
Jambylmedia.kz,87784845555,"ул. Сатпаева, дом 11 кв. 31","jambylmedia@gmail.com, http://jambylmedia.kz/",Данияр Әлімқұл,Жамбылская область,Тараз,ИА,"ТОО ""АбадаНо1""",jambylmedia@gmail.com,http://jambylmedia.kz/
Shanyraq.info,"87262431054, 8775 8147714","ул. Толе би, 23 Б","dostykdn@gmail.com, https://shanyraq.info/",Саятхан Сатуганов,Жамбылская область,Тараз,ИА,"ИП ""Сатылғанов Ж.Т.""",dostykdn@gmail.com,https://shanyraq.info/
Qusqanat.kz,"8702 7502570, 8747 0831884","ул. Абая, 106","qusqanat@gmail.com, http://qusqanat.kz/",Нұрболат Жолдасбек,Жамбылская область,Тараз,ИА,"ИП ""Аспан TAU""",qusqanat@gmail.com,http://qusqanat.kz/
Aldaspan.info,87262545279,"ул. Сүлейменова, 17","madiyar-media@mail.ru, aldaspan-info.kz",Салтанат Ибрагимова,Жамбылская область,Тараз,ИА,"ИП ""Шым-пресс"", Салтанат Ибрагимова",madiyar-media@mail.ru,http://aldaspan-info.kz/
77 TV,"87262 346649, 8778 3207777","ул. Ниеткалиева, 100","77_tv@mail.ru , http://77news.kz",Нуржан Садыбеков,Жамбылская область,Тараз,ТВ,"ТОО ""KAZYNA TAU"", Калбуби Айтбаева",77_tv@mail.ru,http://77news.kz
JAMBYL,"87262 454214, 87262 4552940, 87262 455677","ул. Сулейменова, 6","aziza@taraz.kazakhstan.kz, taraztv@kaztrk.kz, http://taraztv.kz/ru",Нұржан Мергенбай,Жамбылская область,Тараз,ТВ,"АО ""Республиканская Телерадиокорпорация  ""Казахстан""",aziza@taraz.kazakhstan.kz taraztv@kaztrk.kz,http://taraztv.kz/ru
Ауыл тынысы,87113022374,"п. Переметное, ул.Гагарина, 85","auyltynysy@mail.ru, http://www.auyltynysy.kz/",Ертай Бимуханов,Западно-Казахстанская область,Зеленовский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",auyltynysy@mail.ru,http://www.auyltynysy.kz/
Мой город,87112513997,"ул. Нурпеисовой 12/1, №102 ","mg_500678@mail.ru, https://mgorod.kz/",Анель Кайнеденова,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Медиастарт 2012"", Ольга Тулисова",mg_500678@mail.ru,https://mgorod.kz/
Новости Карачаганака,"8711 33 31530,8711 33 34760","пр. Абая,19",ngu-panorama@mail.ru,Олег Перегудов,Западно-Казахстанская область,Аксай,Газета,"НУ ""Редакция газеты ""Панорама Карачаганака"", Олег Перегудов",ngu-panorama@mail.ru,
Панорама Карачаганака,"8711 33 31530,8711 33 34760","пр. Абая,19",ngu-panorama@mail.ru,Олег Перегудов,Западно-Казахстанская область,Аксай,Газета,"НУ ""Редакция газеты ""Панорама Карачаганака"", Олег Перегудов",ngu-panorama@mail.ru,
Ауыл айнасы,87114434468,"п. Казталовка, ул.Шаруфутдинова 13","aulainasi@mail.ru, http://www.auylainasy.kz/",Серік Жұмағалиев,Западно-Казахстанская область,Казталовский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",aulainasi@mail.ru,http://www.auylainasy.kz/
Бөрлi жаршысы - Бурлинские вести,"871133 40118, 871133 40119, 871133 30456","ул. Цвиллинга, 156/Б","gazeta-bv@mail.ru, https://www.facebook.com/burevestnik.kz/",Дарига Нурушова,Западно-Казахстанская область,Аксай,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",gazeta-bv@mail.ru,https://www.facebook.com/burevestnik.kz/
Будни Аксая,87113375755,"5 мкр.,19","aksay_radio@mail.ru, aksai_radio@mail.ru",Нагима Нуртазина,Западно-Казахстанская область,Аксай,Газета,"ТОО ""Business-Print"", Нагима Нуртазина",aksay_radio@mail.ru aksai_radio@mail.ru,
Екпiн,87113921132,"п. Таскала, ул.С.Жақсығұлова, 5","ekpin_1936@mail.ru, http://www.ekpyn.kz",Думан Ғазез,Западно-Казахстанская область,Таскалинский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",ekpin_1936@mail.ru,http://www.ekpyn.kz
Жайық таңы,"87113692324, 871136 91756","п. Чапаево, ул. Иксанова, 18","zhaiktany@mail.ru, http://zhaiktany.kz/",Болат Есқалиев,Западно-Казахстанская область,Акжаикский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",zhaiktany@mail.ru,http://zhaiktany.kz/
Жайық үні - Жизнь города,"87112 508631, 87027908367","ул. Фрунззе, 20/1","zhaik_yni@mail.ru , http://zhaikuni.kz/",Мира Шуиншалиева,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Жайық үні"", Мира Шуиншалиева",zhaik_yni@mail.ru,http://zhaikuni.kz/
Жаңарған өңір,87114121755,"п. Жангала, ул. Маншук Маметовой, 4 ","zhanargan_onir@mail.ru, http://www.zhanarganonir.kz/",Нургали Габбасов,Западно-Казахстанская область,Жангалинский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",zhanargan_onir@mail.ru,http://www.zhanarganonir.kz/
Жастар жанары,"8777 54510412, 8777 6739010","пр. Назарбаева, 177, 6 эт. Офис 605","zhas-zhanar@mail.ru, http://zhas-zhanary.kz",Венера Губайдуллина,Западно-Казахстанская область,Уральск,Газета,"ИП ""В.М.Гайнуллина"", Венера Губайдуллина",zhas-zhanar@mail.ru,http://zhas-zhanary.kz
Қаратөбе өңірі,"87114531161, 8711 45 31335","п. Каратобе,ул.Жумалиева, 21","karatobe_oniri@mail.ru, http://www.karatobeoniri.kz/",Серикбай Хасанов,Западно-Казахстанская область,Каратобинский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",karatobe_oniri@mail.ru,http://www.karatobeoniri.kz/
Мой город,87112513997,"ул. Нурпеисовой, 12/1, №102 ","mg_500678@mail.ru, https://mgorod.kz/",Анель Кайнеденова,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Медиастарт 2012"", Ольга Тулисова",mg_500678@mail.ru,https://mgorod.kz/
Надежда,"8 7112 51 38 91, 87112 50 77 36","ул. Нурпеисовой, 15/1","gazeta@nadezhda.kz, http://nadezhda.kz/",Булат Мауленберлиев,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Статус"", Булат Мауленберлиев",gazeta@nadezhda.kz,http://nadezhda.kz/
Неделя,"87112 536242, 87112 536021","пр. Назарбаева, 216/2",week2001@bk.ru,Асқар Далабаев,Западно-Казахстанская область,Уральск,Газета,"ТОО ""ALFA"", Асқар Далабаев",week2001@bk.ru,
Орал апталығы -Уральская неделя,"87112 510678,87112 542016","ул. Кердери, 138","uralskweek2001@gmail.com, www.uralskweek.kz",Лукпан Ахмедьяров,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Журналистская инициатива"", Лукпан Ахмедьяров",uralskweek2001@gmail.com,https://www.uralskweek.kz/
Орал өңірі,"87112 512580, 8701 3593090","ул. Мухита, д.57/1","Oral_oniri@inbox.ru, oraloniri.kz",Бауыржан Губайдуллин,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",Oral_oniri@inbox.ru,http://oraloniri.kz/
Приуралье,"87112 543191, 87783393430","ул. Мухита, д.57/1","Pri_ru@mail.ru,syikovar@mail.ru, http://priru.kz/",Роза Сыиқова,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",Pri_ru@mail.rusyikovar@mail.ru,http://priru.kz/
Орда жұлдызы,87114021530,"п. Сайхин, ул. Азербаева, 10/1","too-orda@bk.ru, http://www.ordazhuldyzy.kz/",Ұлпан Жакина,Западно-Казахстанская область,Букейординский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",too-orda@bk.ru,http://www.ordazhuldyzy.kz/
Пульс,"87112 514153, 87011723735","пр. Назарбаева, 184/1, 32 офис","puls-zko@mail.ru, puls-zko.kz",Сауле Загидулина,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Пульс ЗКО"", Жансулу Таджимова",puls-zko@mail.ru,http://puls-zko.kz/
Регион Евразия,87772826999,ул. Г.Қараша 14,"rea-inform@mail.ru, http://region-eurasia.com/",Жанар Давлетова,Западно-Казахстанская область,Уральск,Газета,"ТОО ""Элит-пресс Регион"", Жанар Давлетова",rea-inform@mail.ru,http://region-eurasia.com/
Серпiн,"871137 34391, 871137 33329","п. Чингирлау, ул. Тайманова, 93/а","serpyn@mail.ru, http://www.serpyn.kz",Анар Садыкова,Западно-Казахстанская область,Чингирлауский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",serpyn@mail.ru,http://www.serpyn.kz
Сырым елі,87113431434,"п. Жымпиты, ул. Есенжанова ,17","sirim_eli@mail.ru, http://www.syrymeli.kz/",Бауыржан Мастафиев ,Западно-Казахстанская область,Сырымский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",sirim_eli@mail.ru,http://www.syrymeli.kz/
Талап,"8 7112 504751, 8 7112 519247","ул. Ескалиева, 126",gazeta_talap@mail.ru,Сергей Добряев,Западно-Казахстанская область,Уральск,Газета,"АО ""Талап"", Сергей Добряев",gazeta_talap@mail.ru,
Теректі жаңалығы – Теректинская новь,"87113221237, 871132 23396","п. Федоровка, Ул.Юбилейная, 18","redakciayternew@mail.ru, www.terektizhanalygy.kz",Нурзия Сисенбаева,Западно-Казахстанская область,Теректинский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",redakciayternew@mail.ru,http://www.terektizhanalygy.kz/
Уральская газета,"87774686212,  87112 500109","ул. Самарская, 98-11","info@uralsknews.kz, http://www.uralsknews.kz ",Нина Кирсанова,Западно-Казахстанская область,Уральск,Газета,"ИП ""Агафон"", Нина Кирсанова",info@uralsknews.kz,http://www.uralsknews.kz
Шұғыла,87113521770,"п. Жаныбек, ул.М.Ихсанова, 93","shugulazhanibek@mail.ru, http://shugula.kz/",Нурымбек Жапаков,Западно-Казахстанская область,Жаныбекский район,Газета,"ТОО ""Жайық Пресс"", Рауан Сабитов",shugulazhanibek@mail.ru,http://shugula.kz/
Mgorod.kz,87112513997,"ул. Нурпеисовой, 12/1, №102 ","mg_500678@mail.ru, https://mgorod.kz/",Анель Кайнеденова,Западно-Казахстанская область,Уральск,ИА,"ТОО ""Медиастарт 2012"", Ольга Тулисова",mg_500678@mail.ru,https://mgorod.kz/
PULS-ZKO,"87112 514153, 87011723735","пр. Назарбаева, 184/1, 32 офис","puls-zko@mail.ru, puls-zko.kz",Сауле Загидулина,Западно-Казахстанская область,Уральск,ИА,"ТОО ""Пульс ЗКО"", Жансулу Таджимова",puls-zko@mail.ru,http://puls-zko.kz/
Kazpolit.kz,"8 701 823 98 41,  8747 894 4393","ул. Жданова, д.14, кв.26","kazpolitkz@gmail.com, http://kazpolit.kz/",Жандос Смайлов,Западно-Казахстанская область,Уральск,ИА,"ТОО ""Жайық парағы"", Асыланбек Сундетов",kazpolitkz@gmail.com,http://kazpolit.kz/
"ИА ""Инфопортал""","87058143854, 87112 240266","Уральский тупик, 4","info@infoportal.kz, http://infoportal.kz/",Дамир Табылов,Западно-Казахстанская область,Уральск,ИА,"ТОО ""Ерен Компани"", Дамир Табылов",info@infoportal.kz,http://infoportal.kz/
Радио Аксай плюс,"871133 33633, 871133 32777","пр. Абая, 80","info@aksai.fm, aksai_radio@mail.ru, http://aksai.fm",,Западно-Казахстанская область,Аксай,Радио,"ТОО ""Радио Аксай плюс"", Дмитрий Сова",info@aksai.fm aksai_radio@mail.ru,http://aksai.fm
Таза-пресс,"87112506105, 87015166094","пр. Назарбаева, д.144",,,Западно-Казахстанская область,Уральск,Радио,"ТОО ""РИА ""Таза-пресс"", Руслан Калиев",,
Радио Талап,"87112 512741, 8707 3426624",ул.С.Ескалиева 126,,,Западно-Казахстанская область,Уральск,Радио,"АО ""Талап"", Сергей Добряев",,
AQJAI’YQ,"87112 285666, 87112 514151","ул. Н.Сдыкова, 1","zko.tv@kaztrk.kz, http://oraltv.kz/ru",Гульмира Тлеубаева,Западно-Казахстанская область,Уральск,ТВ,"АО ""РТРК ""Казахстан"", Асланбек Губашев ",zko.tv@kaztrk.kz,http://oraltv.kz/ru
Карачаганак,87113333630,"пр. Абая, 80","aksai_radio@mail.ru, https://www.youtube.com/channel/UCx9NWLzfKOEd8ige-1yjcfQ/",,Западно-Казахстанская область,Аксай,ТВ,"ТОО ""Телестудия Карачаганак"",Дмитрий Сова",aksai_radio@mail.ru,https://www.youtube.com/channel/UCx9NWLzfKOEd8ige-1yjcfQ/
ТДК-42,"87112 268980, 87112 269111,87112 269112","ул. Петровского, д.103","news@tdk42.kz, http://tdk42.kz/ru/","Марина Горбук, Жанат Каиргожина",Западно-Казахстанская область,Уральск,ТВ,"ТОО “ПСП Серик”,Татьяна Трифонова",news@tdk42.kz,http://tdk42.kz/ru/
Новый вестник,87212911545,"ул. Ержанова 18, 4 этаж","vestnik@nv.kz, https://nv.kz/",Виталий Федосенко,Карагандинская область,Караганда,Газета,"ТОО ""Газета ""Новый вестник"", Виталий Федосенко",vestnik@nv.kz,https://nv.kz/
Приозерский вестник,"87103954494, 87059818679","ул. Космонавтов, 5-107","Westnik-pb@mail.ru, prz_westnik@mail.ru",Ризалык Кошанова,Карагандинская область,Приозерск,Газета,"ИП Бухарбаева А.А., Айжан Бухарбаева",Westnik-pb@mail.ru prz_westnik@mail.ru,
Саран газеті ,"87213774992, 87213732289","пр. Ленина, д.7","sarangazeti@mail.ru , https://www.facebook.com/sarangazeti/",Бибигуль Даирова,Карагандинская область,Сарань,Газета,"ТОО ""Саран тынысы"", И.О. Бибигуль Даирова",sarangazeti@mail.ru,https://www.facebook.com/sarangazeti/
Абай-Акикат,823141429,"мкр. 3, д. 43, здание Гаи","abayhabar@mail.ru, http://abay-akikat.kz/ru/",Гульнур Абеуова,Карагандинская область,Абай,Газета,"ТОО ""Редакция районной газеты ""Абай акикат"", Гульнур Абеуова",abayhabar@mail.ru,http://abay-akikat.kz/ru/
АВИТРЕК-регион,"87212338383, 87212339626  ","мкр.Степной-2, д.28","red@avitrek.kz, http:www.avitrek.kz",Надежда Королева,Карагандинская область,Караганда,Газета,"ТОО ""Регион-ХХІ"", Надежда Королева",red@avitrek.kz,http:www.avitrek.kz
Арқа ақшамы,"87011776601, 477489, 479168","пр. Бухар жырау, 74а, оф.209а","akshamy@mail.ru, https://arkaakshamy.wordpress.com/",Жанат Жанкашулы,Карагандинская область,Караганда,Газета,"ТОО ""Издательский дом ""Кент"", Умутжан Бекимова",akshamy@mail.ru,https://arkaakshamy.wordpress.com/
Балқаш өңірі,"871036 43349,871036 42564","ул. Акыбый-батыра, 9",balkhashoniry@mail.ru,Куаныш Аманкулов,Карагандинская область,Балхаш,Газета,"ТОО ""Редакция газеты ""Балқаш өңірі"", Куаныш Аманкулов",balkhashoniry@mail.ru,
Бұқар жырау жаршысы (Сарыарка),8 72154 218 85,"п. Ботакара, ул.Казыбек би, 60а","Sary_arka@nursat.kz, http://bjj-gazeti.kz/",Алия Жумакаева,Карагандинская область,Бухар-Жырауский район,Газета,"ТОО ""Бұқар жырау жаршысы"", Алия Жумакаева",Sary_arka@nursat.kz,http://bjj-gazeti.kz/
Вечерний Сатпаев,8777 302 46 79,"пр. Кусаинова, 8 ",abdolla61@mail.ru,Абдола Дастанов,Карагандинская область,Сатпаев,Газета,"ИП Дастанов, Абдола Дастанов",abdolla61@mail.ru,
Шарайна,"871063 34715, 871063 33362","ул. Комарова, 21 а","sharaina2002@mail.ru, http://www.sharayna.kz/",Нурия Ильясова,Карагандинская область,Сатпаев,Газета,"ТОО ""Редакция Сатпаевской городской газеты ""Шарайна"", Нурия Ильясова",sharaina2002@mail.ru,http://www.sharayna.kz/
Вечерняя газета,"87213 982126, 87213 981827 ","ул. Караганды, 20",news-t@vecherka.kz,Александр Тюменев,Карагандинская область,Темиртау,Газета,"ТОО ""Редакция газеты ""Вечерняя газета"", Александр Тюменев",news-t@vecherka.kz,
Взгляд на События,87212981253,ул. Лободы 35 Б,news@sobytiya.kz,Светлана Кулева,Карагандинская область,Караганда,Газета,"ТОО ""Adal MEDIA"", Алексей Сарсембаев",news@sobytiya.kz,
Жанаарка,"871030 27101, 871030 28545","п. Атасу, пр.Тәуелсіздік, 2",janaarka@mail.ru ,Салтанат Ералина,Карагандинская область,Жанааркинский район,Газета,"ТОО ""Редакция газеты ""Жанаарка"", Салтанат Ералина",janaarka@mail.ru,
Жезказганский вестник,87102773052,"ул. Гагарина, 8","zhezvestnik@mail.ru, http://zhezmedia.kz/",Эльвира Алпанбаева,Карагандинская область,Жезказган,Газета,"ТОО ""ЖезМедиа-Пресс"", Эльвира Алпанбаева",zhezvestnik@mail.ru,http://zhezmedia.kz/
Зеркало,87711949495,"ул. Байсеитовой, 14","zerkalo_tau@mail.ru, http://zerkalo-gazeta.com/",Наталья Соколова,Карагандинская область,Темиртау,Газета,"ТОО ""Дженерал пауэр"", Сергей Синяков",zerkalo_tau@mail.ru,http://zerkalo-gazeta.com/
Индустриальная Караганда,"87212 435797,87212 435817","ул. Ермекова, 33","indkrgd@mail.ru, https://inkaraganda.kz/",Оксана Мягких,Карагандинская область,Караганда,Газета,"ТОО ""Saryarqa aqparat"", Олжас Беркинбаев ",indkrgd@mail.ru,https://inkaraganda.kz/
Қазыналы өңір,87103226102,"ул. Сары Тока,1",ka-onir@mail.ru ,Алтын Тажитова,Карагандинская область,Каражал,Газета,"ТОО  ""Редакция газеты ""Казыналы онiр"", Алтын Тажитова",ka-onir@mail.ru,
Каркаралы,"872146 31350, 872146 31456","ул. Бокейханова, 40",Karkaraly_too@mail.ru,Рымбек Смагулов,Карагандинская область,Каркаралинск,Газета,"ТОО ""Редакция районной  газеты ""Каркаралы"", Рымбек Смагулов",Karkaraly_too@mail.ru,
Мысты онiр,"87102741480, 87102 744119 , 87102722363","ул. Мира, 2",mysty_onir@mail.ru,Багдад Айтореулы,Карагандинская область,Жезказган,Газета,"ТОО ""Редакция газеты ""Мысты онір"", Медеу Қайрақтыұлы",mysty_onir@mail.ru,
Нұра,"872144 22477, 872144 21437","п. Киевка, ул.Талжанова, 5а","gazeta.nura@mail.ru, http://nuralib.kz/ru/nura/",Тазагуль Пышенбаева,Карагандинская область,Нуринский район,Газета,"ТОО ""Редакция районной газеты ""Нура"" акимата Нуринского района"", Тазагуль Пышенбаева",gazeta.nura@mail.ru,http://nuralib.kz/ru/nura/
Орталық Қазақстан,87212435778,"ул. Ермекова, 33","ortalyk.kz@gmail.com, ortalyk.kaz@mail.ru, https://ortalyq.kz/",Нұрлыхан Қалқаманұлы,Карагандинская область,Караганда,Газета,"ТОО""Редакция областной газеты ""Орталық Қазақстан"", Қамбар Ахметов",ortalyk.kz@gmail.com ortalyk.kaz@mail.ru,https://ortalyq.kz/
Отан-Заман,"87756973902, 87765906690
","пр. Мира, 76",o_zaman@mail.ru,Алия Есепхан,Карагандинская область,Темиртау,Газета,"ТОО ""Редакция газеты ""Отандастар"", Зауре Оспанова",o_zaman@mail.ru,
Подробности,"87102 724711, 87102 741179","ул. Мира, 2","podrobnosty1@mail.ru, http://podrobnosty.kz/",Нина Барбутько,Карагандинская область,Жезказган,Газета,"ОО ""Союз молодежи ТОО ""Корпорация Казахмыс"", Нина Барбутько",podrobnosty1@mail.ru,http://podrobnosty.kz/
Пульс,"871036 41043,871036 46231","ул. Агыбая батыра, 15",too.puls@gmail.com,Сара Танатарова,Карагандинская область,Балхаш,Газета,"ТОО ""Пульс"", Сара Танатарова",too.puls@gmail.com,
Северное Прибалхашье,"871036 41024, 871036 49862 ","ул. Мира, 12",gazetast2009@bk.ru,Людмила Останина,Карагандинская область,Балхаш,Газета,"ТОО ""Редакция газеты Северное Прибалхашье"" , Людмила Останина",gazetast2009@bk.ru,
Сельский труженик,87214941572,"п. Осакаровка, ул.Достык, 37","serzhan.24@mail.ru, http://cbs-osakarovka.kz/ru/truzhenik",Тохметова К.О.,Карагандинская область,Осакаровский район,Газета,"ТОО ""Районная газета ""Сельский труженик"", Тохметова К.О.",serzhan.24@mail.ru,http://cbs-osakarovka.kz/ru/truzhenik
Тоқырауын тынысы,"871037 21539, 871037 21881","п. Актогай, ул. Абая,1 А",aktagai_red@mail.ru,Гульнар Елиусизова,Карагандинская область,Актогайский район,Газета,"ТОО ""Редакция Актогайской районной газеты ""Тоқырауын тынысы"" , Гульнар Елиусизова",aktagai_red@mail.ru,
Улытау онiрi,"871035 21372, 871035 21122","п. Улытау, ул.Булкышева, 11",ulytau-oniri@mail.ru,Ельтынды Дуйсенбаев,Карагандинская область,Улытауский район,Газета,"ТОО ""Редакция газеты ""Ұлытау оңірі"" , Ельтынды Дуйсенбаев",ulytau-oniri@mail.ru,
Шахтинский вестник,87215653188,"ул. Казахстанская,101",shahtinskvestnik@mail.ru,Эльвира Сенягина,Карагандинская область,Шахтинск,Газета,"ТОО ""Шахтинск ИНФО"", Эльвира Сенягина",shahtinskvestnik@mail.ru,
Шет шұғыласы,"8 71031 21142,8 71031 21403","п. Аксу-Аулы, пр/ Шортанбай,73",shshugla@mail.ru,Мейрам Садвакасов,Карагандинская область,Шетский район,Газета,"ТОО ""Редакция Шетской районной газеты ""Шет шұғыласы"", Мейрам Садвакасов",shshugla@mail.ru,
Aqsham.TV,87106338585,"пр. Сатпаева, 115","Aqshamtv@mail.ru, http://aqsham.tv/",Алтын Толегенова,Карагандинская область,Сатпаев,ИА,"ИП Нурпейсов Г.Б., Дана Кунтуганова",Aqshamtv@mail.ru,http://aqsham.tv/
www.nv.kz,87212911545,"ул. Ержанова 18, 4 этаж","vestnik@nv.kz, https://nv.kz/",Виталий Федосенко,Карагандинская область,Караганда,ИА,"ТОО ""Газета ""Новый вестник"", Виталий Федосенко",vestnik@nv.kz,https://nv.kz/
Общественное интернет-телевиденье 101tv.kz,"87212 973223, 8 700 328 88 40",,"101tvkz@mail.ru, http://101tv.kz/",Ботагоз Дюсенбаева,Карагандинская область,Караганда,ИА,"ИП Дюсенбаева Ботагоз Кошкинбаевна, Ботагоз Дюсенбаева",101tvkz@mail.ru,http://101tv.kz/
eKaraganda.kz,87212996636,"ул. Ермекова, 46","ekaraganda.kz@mail.ru, http://ekaraganda.kz/",Нина Вербовая,Карагандинская область,Караганда,ИА,"ТОО ""Компаниия ""Creadom"", Сергей Забурдяев",ekaraganda.kz@mail.ru,http://ekaraganda.kz/
Qasym.kz,"87212420425, 8 775 942 8780    ","ул. Ерубаева, 16","http://qasym.kz/, narinov97@inbox.ru",Ерік Нарын,Карагандинская область,Караганда,ИА,"ЧУ ""Академия ""Болашақ"", Альфия Хайруллина",narinov97@inbox.ru,http://qasym.kz/
Оркен Media,87103640461,"ул. Сейфуллина, 13","http://orken-media.kz/, info@orken-media.kz",Виктория Буханцева,Карагандинская область,Балхаш,ИА,"ТОО ""Оркен-Media"", Гульмира Омарова",info@orken-media.kz,http://orken-media.kz/
Радио - 102,87212419229,"пр. Мира, 55/1, кв.25","info@102.kz, http://www.102.kz/radio.htm",,Карагандинская область,Темиртау,Радио,"ТОО ""Радио-102"", Андрей Лапунов",info@102.kz,http://www.102.kz/radio.htm
Love radio,8 7212 91 00 32,,100@loveradio.kz,,Карагандинская область,Караганда,Радио,"ТОО ""GRAND FM"", Вадим Ни",100@loveradio.kz,
Как бы радио,"87212908600, 87212 909600","ул. Сатпаева, д.51",Karaganda107@gmail.com,Елена Лазарева,Карагандинская область,Караганда,Радио,"ТОО ""TERRA"", Валерий Кузминь",Karaganda107@gmail.com,
Жаңа FM - Новое радио,87212412170,"ул. Ленина,10а",info@arttv.kz,Руслан Никонович,Карагандинская область,Караганда,Радио,"ТОО ""Радио-ТЕКС"", Руслан Никонович",info@arttv.kz,
7 Дней.kz,8 701 492 43 58,"ул. Пичугина, 145","slava_k9@mail.ru, http://7dney.kz/",Вячеслав Коханов,Карагандинская область,Караганда,Сетевое издание,"ИП""Коханов"", Вячеслав Коханов",slava_k9@mail.ru,http://7dney.kz/
"Информационно-аналитический портал ""Kritika.kz""",,ул.Ермекова 3,https://kritika.kz/,Марат Дабылов,Карагандинская область,Караганда,Сетевое издание,"ТОО ""Компания ""Алтын Гасыр""",,https://kritika.kz/
SARYARQA,87212411125,"ул. Воинов-интернационалистов, 14","karrtrk@mail.ru, https://kartv.kz/ru","Галина Балбекова, Али Тойжигитов",Карагандинская область,Караганда,ТВ,"АО ""РТРК  ""Казахстан"", Берик Дюсетаев",karrtrk@mail.ru,https://kartv.kz/ru
Жезказган ТВ,87102 75 00 25,"ул. Шевченко, д.32, кв.54","TV-21@list.ru,janaarkatv@mail.ru, http://zhezkazgan-tv.kz/",Ирина Келлер ,Карагандинская область,Жезказган,ТВ,"ТОО ""TV-21"", Ирина Келлер ",TV-21@list.rujanaarkatv@mail.ru,http://zhezkazgan-tv.kz/
5-канал,"87212 421209, 87212 42-205,87212 421206","ул. Бульвар Мира, 33/1","kanal5@mail.ru, http://www.5tv.kz/",Рушан Бараев,Карагандинская область,Караганда,ТВ,"ТОО ""5 канал-KZ"", Елена Строчкова",kanal5@mail.ru,http://www.5tv.kz/
